"","month","id","gender","symbol","count","DEG.18","DEG.24","DEG.both"
"322","24","58","M","Entpd8",100,"None","None",FALSE
"323","24","61","M","Entpd8",43,"None","None",FALSE
"324","3","8","M","Entpd8",155,"None","None",FALSE
"325","3","9","M","Entpd8",79,"None","None",FALSE
"326","3","10","M","Entpd8",280,"None","None",FALSE
"327","3","11","M","Entpd8",151,"None","None",FALSE
"328","3","56","F","Entpd8",109,"None","None",FALSE
"329","3","38","F","Entpd8",154,"None","None",FALSE
"330","3","39","F","Entpd8",431,"None","None",FALSE
"331","18","53","M","Kcne3",380,"None","None",FALSE
"332","18","45","M","Kcne3",865,"None","None",FALSE
"333","18","46","F","Kcne3",747,"None","None",FALSE
"334","18","47","F","Kcne3",533,"None","None",FALSE
"335","24","60","M","Kcne3",186,"None","None",FALSE
"336","24","59","M","Kcne3",268,"None","None",FALSE
"337","24","58","M","Kcne3",299,"None","None",FALSE
"338","24","61","M","Kcne3",161,"None","None",FALSE
"339","3","8","M","Kcne3",284,"None","None",FALSE
"340","3","9","M","Kcne3",291,"None","None",FALSE
"341","3","10","M","Kcne3",565,"None","None",FALSE
"342","3","11","M","Kcne3",526,"None","None",FALSE
"343","3","56","F","Kcne3",264,"None","None",FALSE
"344","3","38","F","Kcne3",286,"None","None",FALSE
"345","3","39","F","Kcne3",593,"None","None",FALSE
"346","18","53","M","Chst4",66,"None","None",FALSE
"347","18","45","M","Chst4",393,"None","None",FALSE
"348","18","46","F","Chst4",266,"None","None",FALSE
"349","18","47","F","Chst4",207,"None","None",FALSE
"350","24","60","M","Chst4",27,"None","None",FALSE
"351","24","59","M","Chst4",73,"None","None",FALSE
"352","24","58","M","Chst4",81,"None","None",FALSE
"353","24","61","M","Chst4",30,"None","None",FALSE
"354","3","8","M","Chst4",45,"None","None",FALSE
"355","3","9","M","Chst4",106,"None","None",FALSE
"356","3","10","M","Chst4",165,"None","None",FALSE
"357","3","11","M","Chst4",124,"None","None",FALSE
"358","3","56","F","Chst4",81,"None","None",FALSE
"359","3","38","F","Chst4",74,"None","None",FALSE
"360","3","39","F","Chst4",315,"None","None",FALSE
"361","18","53","M","Espn",75,"None","Up",FALSE
"362","18","45","M","Espn",142,"None","Up",FALSE
"363","18","46","F","Espn",234,"None","Up",FALSE
"364","18","47","F","Espn",219,"None","Up",FALSE
"365","24","60","M","Espn",99,"None","Up",FALSE
"366","24","59","M","Espn",105,"None","Up",FALSE
"367","24","58","M","Espn",81,"None","Up",FALSE
"368","24","61","M","Espn",61,"None","Up",FALSE
"369","3","8","M","Espn",62,"None","Up",FALSE
"370","3","9","M","Espn",72,"None","Up",FALSE
"371","3","10","M","Espn",160,"None","Up",FALSE
"372","3","11","M","Espn",124,"None","Up",FALSE
"373","3","56","F","Espn",42,"None","Up",FALSE
"374","3","38","F","Espn",21,"None","Up",FALSE
"375","3","39","F","Espn",126,"None","Up",FALSE
"376","18","53","M","BC030870",89,"None","None",FALSE
"377","18","45","M","BC030870",313,"None","None",FALSE
"378","18","46","F","BC030870",218,"None","None",FALSE
"379","18","47","F","BC030870",144,"None","None",FALSE
"380","24","60","M","BC030870",35,"None","None",FALSE
"381","24","59","M","BC030870",41,"None","None",FALSE
"382","24","58","M","BC030870",56,"None","None",FALSE
"383","24","61","M","BC030870",6,"None","None",FALSE
"384","3","8","M","BC030870",86,"None","None",FALSE
"385","3","9","M","BC030870",129,"None","None",FALSE
"386","3","10","M","BC030870",294,"None","None",FALSE
"387","3","11","M","BC030870",166,"None","None",FALSE
"388","3","56","F","BC030870",75,"None","None",FALSE
"389","3","38","F","BC030870",46,"None","None",FALSE
"390","3","39","F","BC030870",234,"None","None",FALSE
"391","18","53","M","Ihh",86,"None","None",FALSE
"392","18","45","M","Ihh",249,"None","None",FALSE
"393","18","46","F","Ihh",93,"None","None",FALSE
"394","18","47","F","Ihh",235,"None","None",FALSE
"395","24","60","M","Ihh",3,"None","None",FALSE
"396","24","59","M","Ihh",87,"None","None",FALSE
"397","24","58","M","Ihh",62,"None","None",FALSE
"398","24","61","M","Ihh",42,"None","None",FALSE
"399","3","8","M","Ihh",120,"None","None",FALSE
"400","3","9","M","Ihh",123,"None","None",FALSE
"401","3","10","M","Ihh",245,"None","None",FALSE
"402","3","11","M","Ihh",211,"None","None",FALSE
"403","3","56","F","Ihh",57,"None","None",FALSE
"404","3","38","F","Ihh",69,"None","None",FALSE
"405","3","39","F","Ihh",248,"None","None",FALSE
"406","18","53","M","Cldn2",262,"None","None",FALSE
"407","18","45","M","Cldn2",618,"None","None",FALSE
"408","18","46","F","Cldn2",457,"None","None",FALSE
"409","18","47","F","Cldn2",510,"None","None",FALSE
"410","24","60","M","Cldn2",99,"None","None",FALSE
"411","24","59","M","Cldn2",148,"None","None",FALSE
"412","24","58","M","Cldn2",238,"None","None",FALSE
"413","24","61","M","Cldn2",93,"None","None",FALSE
"414","3","8","M","Cldn2",116,"None","None",FALSE
"415","3","9","M","Cldn2",223,"None","None",FALSE
"416","3","10","M","Cldn2",593,"None","None",FALSE
"417","3","11","M","Cldn2",362,"None","None",FALSE
"418","3","56","F","Cldn2",226,"None","None",FALSE
"419","3","38","F","Cldn2",231,"None","None",FALSE
"420","3","39","F","Cldn2",615,"None","None",FALSE
"421","18","53","M","Gstm3",134,"None","None",FALSE
"422","18","45","M","Gstm3",373,"None","None",FALSE
"423","18","46","F","Gstm3",307,"None","None",FALSE
"424","18","47","F","Gstm3",248,"None","None",FALSE
"425","24","60","M","Gstm3",89,"None","None",FALSE
"426","24","59","M","Gstm3",109,"None","None",FALSE
"427","24","58","M","Gstm3",173,"None","None",FALSE
"428","24","61","M","Gstm3",68,"None","None",FALSE
"429","3","8","M","Gstm3",162,"None","None",FALSE
"430","3","9","M","Gstm3",175,"None","None",FALSE
"431","3","10","M","Gstm3",353,"None","None",FALSE
"432","3","11","M","Gstm3",307,"None","None",FALSE
"433","3","56","F","Gstm3",112,"None","None",FALSE
"434","3","38","F","Gstm3",101,"None","None",FALSE
"435","3","39","F","Gstm3",340,"None","None",FALSE
"436","18","53","M","Clrn3",53,"None","None",FALSE
