"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Utp14b","Utp14b",250.9457084,163.386289,225.1780833,298.7000483,49.3803945,83.8346144,296.9118636,84.0760362,177.1894401,137.5524373,264.7736942,138.5545221,570.5974629,328.2035203,327.5851769
"Eps8l3","Eps8l3",638.2782308,318.1770922,537.7817279,433.6648918,296.7824072,745.8678231,1146.7783275,340.9443813,223.5232437,188.740526,335.7746609,136.721923,1128.9267768,1143.3710139,435.3640196
"Rasd1","Rasd1",499.0819466,319.6068541,573.2302452,341.5836428,302.12064912,505.3446312,873.9099544,310.8120553,168.7203257,184.0069927,208.8935306,155.0171292,1077.0641496,1025.6915842,402.8387109
"Slc6a14","Slc6a14",46.7749737,13.5415251,41.5696805,21.4329457,2.468964,0,38.54855256,10.6307955,9.8177266,18.7777912,21.7110712,6.2218998,64.5204287,75.2096963,32.4749673
"Rasef","Rasef",417.4829917,200.415757,233.5992578,299.8673398,103.6021742,332.7097589,422.4047314,198.6957084,155.3040821,142.1821588,322.8867009,96.191937,675.4072634,558.4705825,376.1584777
"Btnl5","Btnl5",195.6701103,144.8558686,158.2136658,248.0978256,77.5092632,246.0834503,337.4173181,171.1953698,127.1467509,88.0927895,122.7588822,58.2977174,438.2471706,299.411101,270.4912253
"Krtcap3","Krtcap3",498.31413286,318.3001223,600.6338075,290.2268623,437.7844916,564.7923416,968.404853,282.5475174,128.4611304,136.9569028,194.50224984,114.5261255,947.1920416,1018.6907062,378.7627047
"Prss8","Prss8",424.5311875,273.1932006,495.9601134,286.0104013,325.1011397,446.4236108,840.686908,245.1122339,173.4489431,119.8125087,202.093909,92.5266576,850.9501752,835.1882552,394.4090526
"Fam195a","Fam195a",379.0695535,298.6571132,543.2758475,300.2828817,341.2057606,345.60827,557.5140422,165.1929278,115.2239352,104.0467582,178.7975279,120.4594837,711.9976257,723.2923571,300.5067116
"Tpsg1","Tpsg1",668.9824504,432.1568648,764.5630494,459.1075069,548.4806059,799.5364863,1189.7434768,457.5204657,271.4286761,199.0019716,386.4727588,181.3843684,1238.4410685,1294.7219064,533.9437154
