"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"2073","Fam160a2",22.396011351,29.673291129,2.79940428,24.908019436,3.76154865,21.49079053,24.47605224,48.074606111,86.723483234,51.456282815,37.635135231,13.797932147,34.432586524,19.008845567,96.126847732
"2074","Aimp1",76.744247411,68.370384259,21.03327272,43.44676685,13.498007869,94.252079722,63.551493071,78.135712313,90.0686086889999,69.607763143,45.409117404,21.41631927,78.492869749,70.03806194,150.4968727255
"2075","Rnf149",71.271056305,54.198364165,10.770323416,48.6187359215,1.78894491,63.61765113,51.368657868,112.94794212,97.848660926,90.659380702,56.314963632,17.031077054,79.451993002,48.091990864,204.623131975
"2076","Rps19bp1",74.008709093,66.211034701,19.095534057,35.741577787,13.11310112,44.57910098,51.513447606,42.966756685,68.051888668,55.948998225,37.915099659,12.42535846,67.166393572,43.21806821,119.424634858
"2077","Dapk3",72.4400996703,63.044117952,21.685092365,42.05086665,3.82002037,68.8875957895,42.477165194,59.8064585713,80.6623187835,62.82767369,48.662202622,11.91257772,54.930883936,39.127785814,122.789219681
"2078","Ndufa3",89.05372528,99.38582156,45.38727596,57.28975455,8.63075014,38.770420843,85.94235521,37.265177785,141.47892808,125.3695343,83.72170697,29.78346612,117.94244489,120.38295802,240.36490494
"2079","Neurl3",49.6709535935,45.896610673,7.1041897215,35.847537644,2.1688939,42.03506509,33.8725588731,58.812214459,111.155215078,84.746327413,53.965595972,22.424831829,49.832001297,21.323979894,145.599386103
"2080","Vmac",36.415832856,46.194213302,7.236026584,31.29990291,0,40.30469682,36.145722046,33.70750709,54.505712132,33.833501872,22.929014932,6.58755784,44.750982429,22.057750587,111.780751685
"2081","Rcc1",107.397996671,69.847717646,11.599989246,48.798125177,2.60380481,62.77962069,38.400373302,95.70041977,92.404928731,67.074259795,49.114134969,23.467360435,65.255713705,39.499213019,163.22247719
"2082","Tmem223",91.64154159,83.439705994,31.2339621867,52.40337279,12.2835316,64.488096463,70.704929206,64.859048046,87.781387523,85.207168064,54.378191027,17.467287022,81.062030023,65.35807246,140.767282589
"2083","Abcg2",19.6624727073,29.752253018,3.269282018,24.109400925,0,30.279818525,17.725168035,39.806185755,44.643425175,51.156260889,24.630886531,7.292905018,35.128693892,17.715845033,79.737313555
"2084","Nme2",142.52584032,116.83870328,49.86893926,70.61547948,18.48962387,119.65863048,108.04776421,110.12449131,146.62471315,119.1857666,89.590176,27.73829517,123.73392201,94.73756316,233.32031018
"2085","Pla2g16",79.353454915,61.13688943,32.74722925,42.88201806,10.6267647,55.159471215,58.373294454,52.262557544,75.243969991,65.082982117,50.051271291,14.96432356,76.387310752,54.675723322,151.59750278
"2086","Lsm4",140.59600772,109.85864313,47.06442206,63.29786761,18.4466261,87.150888166,106.603473814,99.19678027,126.05985402,100.024757594,77.07422016,24.59318158,120.46816872,83.637834479,207.56534427
"2087","Tmem120a",57.951477442,58.377754471,18.1089220704,31.338652905,1.743442,44.88753817,30.33541486,41.15624481,79.847631559,62.680099381,35.788113628,16.20971988,39.481240148,34.168996847,94.415331906
"2088","Ube2c",62.471836373,45.07156463,26.036337,26.643719587,5.2789729,53.4332809,45.0450096567,52.822519381,54.303624959,53.3297382,34.777792132,18.868705732,52.610271308,28.148720616,108.799031427
"2089","Wipi2",42.731992032,39.99294591,8.954341803,31.570007739,5.88763717,40.061706134,24.066812604,50.984701317,74.9884897615,48.854773702,44.148805418,13.228155992,58.746928921,21.2211396955,123.195535969
"2090","Ogdh",73.5395062964,75.679314791,19.478311863,58.47984057,4.947787779,65.111326583,50.235935719,93.2389057466,153.159265798,100.122135114,81.686009981,27.54119991,91.3693375380001,42.355562453,192.622024031
"2091","Sptlc2",57.717583937,64.088104356,11.204946781,40.362786916,2.74995504,66.8496885,47.7463786733,77.065119045,116.905658051,96.0942523829999,57.5240434555,24.466080133,74.000276634,39.078669265,146.536304806
"2092","Psmb2",143.0279957,111.24304525,47.88221324,60.16057988,19.4426157,97.970613677,100.74732496,98.49670847,127.604828343,113.388530765,81.31136361,28.07267956,128.6585787,87.952832441,219.46092866
"2093","Lman2",132.076179083,108.84733098,42.53739826,56.362508004,14.92647604,86.9177413870001,81.322192376,102.225169443,124.503159968,100.992432703,69.760498784,24.060829837,104.819080342,63.926782506,195.38856233
"2094","Stx5a",83.5598504593,65.334964026,17.733506528,46.171860694,3.913355975,56.633683427,48.6715444992,61.783979724,93.181467356,74.495021422,45.436008947,14.065791344,72.412468347,32.882689806,153.195659824
"2095","Rpl12",123.31753218,110.95803184,46.25905957,79.8557359,21.0541195,125.04451683,120.380761586,118.95630406,180.93225415,134.890165743,95.51291221,32.42957412,141.14876196,108.90408741,267.28535157
"2096","Nhsl1",45.6967998295,43.64534093,12.557739863,27.174818285,0.85233612,41.317860453,37.42194884,65.488519349,82.731058433,51.783430572,32.31191785,9.864679851,65.390339854,61.42992988,141.103548129
"2097","Rdbp",73.909446342,57.630127438,22.61098193,34.484585176,3.08721985,59.488909352,37.2978806518,49.04806746,70.132619614,43.429083886,36.4785157587,15.401379241,66.999166077,34.295765302,118.986577629
"2098","Kif1c",30.685908437,37.2392350244,5.17555398,34.474734115,5.62591654,20.696415708,23.977677574,37.499161542,52.520434968,43.801574818,31.41760243,11.143587537,17.246843652,20.454216762,63.532307265
"2099","H47",82.103312716,75.146473589,31.743695256,34.737674414,9.890522585,52.553449299,52.436932162,65.7947378876,75.9213700325,74.261440063,45.106348112,11.478473973,76.41029493,44.951407165,123.970478239
"2100","Nostrin",39.420354901,38.142775486,12.763325534,17.551804669,6.1642958,22.828985466,21.9749442859,25.758221207,42.528004898,39.265381988,24.157386483,9.67973635,42.869436822,18.807852945,72.443151785
"2101","Ppib",134.11019579,118.9993275,44.07871674,66.13070647,17.85477814,114.361743473,96.80822215,121.5111693,141.27423287,114.22734726,78.59072052,26.32966764,118.94591577,91.62420419,210.94345941
"2102","Aurkaip1",110.78218739,89.88466923,39.19049531,54.52553607,14.12647199,75.601899477,84.587247817,75.635965552,114.035843067,99.56111869,73.605776486,21.04220695,108.623823907,71.0866305015,190.127298508
"2103","Bag6",35.940284367,29.493664691,11.552044371,26.194462807,6.02295683,28.127078055,47.2847247833,40.893945594,57.283560328,42.480740649,38.806748757,13.041292687,38.426407729,32.179246455,81.1712118685
"2104","Pdcd6",114.61526875,85.12123229,37.533062977,52.346305815,13.31151797,74.767360105,83.1501025286,78.1563167985,121.8252034785,101.050529101,68.3789147671,23.380405132,110.244288446,64.739048051,195.22612873
"2105","Fuca2",60.406635191,66.6337796666,11.700362608,37.37296071,0.55689329,52.964045118,34.6528559241,56.008302793,103.432308663,74.222124069,58.6711436174,13.41673047,52.649057476,38.732719317,139.005845988
"2106","Tomm7",88.05240698,102.40541881,44.56390489,58.45625161,13.6096158,59.717862185,91.13007801,38.702268883,142.55726138,125.02803712,87.98043218,31.1852477,136.07582093,116.85870718,249.4037182
"2107","Ndufb9",155.2334767,140.61134649,55.05428536,80.99351677,22.3413275,122.45534072,123.25951238,126.84829074,187.72725708,154.63261168,105.33770074,34.41288907,142.77458638,113.03440975,267.86290138
"2108","Ccdc124",108.17434205,89.62301052,36.01911164,40.71667972,9.12814066,60.499958978,54.552581652,61.524531042,79.486547408,59.412703404,51.3188127,17.24749304,71.269501022,50.111930634,123.321210906
"2109","Rnd3",45.3855564715,45.4589060015,9.0229442864,30.398853166,3.049315864,15.700914214,19.3910102484,37.6401026586,93.237292097,55.300355882,45.293514034,18.760133515,55.85146302,47.347885692,150.876454734
"2110","Thnsl2",46.801957717,31.959681213,11.24574802,20.248721415,6.0873785,36.459164345,30.961892153,30.4962168,62.936896065,51.67286461,42.00152536,12.3754401,36.213131075,18.85242182,103.949626364
"2111","Rpl5",156.80772663,133.97391975,47.9818074,90.0468902,21.1497784,146.61731082,131.56183126,171.4552998,199.55586779,152.12488247,103.52788471,37.2173709,162.08185426,122.4062438,315.566746
"2112","Zfp444",65.742830577,61.42185439,21.732643065,37.961633319,9.2422666,60.792831594,45.270279565,53.611523767,83.279872712,53.044716948,43.225495095,16.13157304,67.765033045,44.26688585,137.670957577
