"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Cyp4f40","Cyp4f40",441.7262261,417.3244688,492.6904091,533.2947577,271.6524296,477.9320585,464.6430326,301.1806926,260.8313934,371.1268099,172.1770767,171.0689296,622.5295345,327.7203765,421.6778161
"Rpph1","Rpph1",539.8978717,543.6958892,776.8360567,565.5858678,270.0976864,163.5915958,448.0377624,138.494969,356.6121723,494.0875954,611.3469993,317.1221087,466.2160949,490.5134885,604.609355
"Inpp5j","Inpp5j",676.471177,894.9261009,788.7965556,924.458539700001,460.6118211,536.3249246,432.2073398,283.4000257,714.2882482,849.846968799999,769.326770499999,503.8883749,874.6560419,534.0081535,1049.5551231
"Fgfbp1","Fgfbp1",686.5184112,775.7759457,939.9761691,683.6819259,664.8808497,642.7065858,658.787774,389.8960538,427.9069517,491.1839684,461.2877851,279.3614647,703.8615445,454.7989164,733.3242872
"Slc5a8","Slc5a8",544.7515561,804.731038,601.4853041,718.8700607,273.0242035,414.7673362,482.4145365,309.7773501,475.3181969,720.7432142,528.787729,280.6418111,650.33016,407.7754038,840.1261667
"Slc5a1","Slc5a1",513.1250214,561.2220757,604.6642209,638.5192071,305.39688706,396.4668461,340.5775915,266.0611463,559.1570407,637.2652094,455.4911023,206.4226935,629.054798,459.5221447,745.3210003
"Rassf6","Rassf6",167.0065815,281.1053048,161.4872202,222.8204194,69.1109156,133.6310808,150.8366628,107.1226058,174.9140734,243.7908493,134.7652749,92.3620017,295.2287963,114.9432456,322.6977536
"Frk","Frk",650.33916,762.5998926,635.0427564,804.2984839,317.1227739,474.4605283,484.747575,224.1793016,689.1890343,722.5261794,616.7320685,431.2809623,828.1030654,488.8417354,1145.2362674
"Ap1m2","Ap1m2",621.25292534,755.4004027,820.3520097,638.442933,462.8875284,667.0206143,585.9814115,363.4289923,402.0173353,532.7735357,335.7263647,283.2273738,679.3791505,422.5296747,748.4287602
"Tmem171","Tmem171",960.4015098,1150.2694134,1305.501981,964.7953691,837.0425591,826.1148449,868.0927922,556.8492724,817.3147683,896.363514500001,753.1471717,516.2022673,1011.6747186,767.6147548,1263.7086955
"Myh14","Myh14",789.60538705,1096.6326224,1112.2088063,1078.5642,582.5629213,621.4988398,694.32309,533.4977439,1004.1416829,1218.9411194,1000.0698635,584.1875515,988.973238999999,737.7457894,1453.9622472
"Fabp2","Fabp2",1099.2403461,1323.5770613,1319.6516633,940.9716262,991.2552474,890.2104272,1005.0742187,549.2434074,900.1372081,818.1695789,908.406545699999,631.8241916,999.8658686,803.4642621,1298.8890892
"Spdef","Spdef",5.144614,59.1062003,4.837797,0,7.7449012,0,10.7030552,7.2115436,13.1381628,8.373404,9.7859125,9.6469151,13.3298134,0,26.0060264
"Gm1123","Gm1123",13.8920579,76.9670569,29.3910803,9.4076822,17.62453817,0,33.8782791,0,0,22.2891936,43.911653,13.8336076,25.6368601,15.4844536,28.3955823
"Slc37a1","Slc37a1",483.3251139,707.6464075,632.2423876,554.6317012,258.2239298,382.0962823,348.632609,285.2136524,660.600171,715.797194,585.138026,402.5017968,634.96904,394.2379657,792.2824206
"Ces1f","Ces1f",753.7004559,709.1643878,876.4636509,751.961848,471.73522417,593.8692524,675.5843877,318.9633569,480.19891,502.5518589,391.4121895,303.9225633,697.3190709,509.0455921,803.500514
"Grb7","Grb7",664.1054456,793.1144151,630.6332549,621.0811717,357.43248401,542.0796806,438.929707,368.5095134,530.847751,736.4673752,530.3826881,403.0987141,713.7928531,532.6322538,883.3683138
"Trpm4","Trpm4",608.1016476,888.6647293,771.0305207,833.7812531,457.88649286,479.3113649,532.9059826,367.435094,744.6583379,888.7178971,760.2642517,485.0621804,772.7524219,649.9069049,1191.2234582
"Mgam","Mgam",570.6857032,621.3948643,613.4387092,577.7365906,243.6385722,308.090366,525.0036753,261.7243717,465.0630688,602.1431652,506.4218659,320.8535393,603.98677,377.8734744,844.102693699999
"Akr1c12","Akr1c12",912.8994867,1075.8405404,1166.7550167,801.0813415,810.9124048,768.5422729,847.1709493,456.3375703,640.3117305,755.3228431,669.9409476,479.8680852,906.9471177,555.5245575,986.6659031
"Grtp1","Grtp1",706.1815305,884.5640609,822.0857772,659.6024961,476.4632127,577.7671442,630.4064369,371.3219242,486.0417176,635.8746701,481.7073661,345.4018646,711.0552433,497.7209646,861.8847421
"Hoxa11as","Hoxa11as",80.0979817,224.8981603,215.7511684,160.0113177,48.7005216,34.5907692,42.3379474,97.8128107,192.5619961,249.9377748,177.1826827,50.379175,59.6349969,33.081502,184.4763504
"Rassf7","Rassf7",728.4442419,1009.8260441,888.482977599999,752.3864942,557.1894924,582.5349713,638.4362568,444.9362339,643.4958914,799.451321,666.4320817,443.03245,820.5883423,530.1662669,986.8672135
"Dhrs11","Dhrs11",870.4172332,1087.6602763,1153.4808169,874.1319929,649.6044737,788.637139,728.7505362,465.9092537,753.3106681,880.8768607,765.2243643,507.7981147,770.2548417,599.1691929,1019.7303528
"X1110017F19Rik","X1110017F19Rik",631.5636107,767.0163224,712.5866877,474.5585057,554.9703228,373.2379213,532.8704556,300.6939714,288.3856381,415.2276718,335.2325548,173.8770135,497.5827606,388.0414714,562.48655
"AA467197","AA467197",1059.5007972,1302.1530673,1537.420074,1114.381605,926.6510553,893.5414873,932.9626495,604.1953503,987.840979,1216.9736453,866.4593842,527.0532155,1032.8897414,834.895142600001,1544.0629386
"Ildr1","Ildr1",841.34153,970.4280203,888.884552999999,950.2491121,433.8774132,672.4670866,609.1602547,402.2925249,716.5121869,853.3359427,749.14526,502.8827933,909.998500999999,617.5370711,1128.5760991
"Prelid2","Prelid2",684.9746116,731.4510748,950.5728462,700.7713817,627.3960716,637.3021376,743.1192632,344.0206981,415.5351771,517.1570505,379.6812422,273.6159286,772.7529405,494.3026763,726.5942699
"D730039F16Rik","D730039F16Rik",479.589892,727.0722988,669.2991848,558.0100377,317.4457662,373.1431733,375.3697735,257.0637724,462.0145362,644.9405759,462.1929309,243.9330942,733.6149634,451.6721105,859.7412146
"Galnt12","Galnt12",446.7618359,653.6507059,532.1291401,664.7866139,183.0124785,496.6448629,361.346392,251.4800323,358.053848,450.7252344,389.1478216,298.8467221,541.4904533,319.3488261,658.2658891
"Foxd2","Foxd2",236.5324662,584.4176724,282.784747,553.7744891,157.5654227,410.8342172,232.4034099,245.6651678,413.6707199,544.8517005,325.1975402,273.5518604,256.2550213,349.711829,555.8733098
"Hnf4g","Hnf4g",460.0107876,402.8835605,413.958872,551.9964644,199.6010922,214.2224977,295.8555408,214.4710301,384.1796407,430.0092392,385.251008,177.3738964,455.0988266,266.0586599,894.0924536
"Utp14b","Utp14b",420.8866112,387.636043,268.1447347,582.529598,165.641981,170.2600249,148.2751454,222.4996326,637.7543828,776.4071652,652.3818643,387.45692,534.4780683,268.0814692,939.4252861
"Eps8l3","Eps8l3",826.1554034,974.515886,853.072462,933.9726846,542.62420819,701.2424607,711.1453939,432.9139669,880.4251109,1076.024681,803.6014427,612.2466867,913.0221013,569.1988573,1171.6509179
"Rasd1","Rasd1",99.1943445,202.7355377,258.60280722,214.6355378,154.83651352,81.6177691,111.4521009,92.8283408,178.5552099,207.2018495,72.1106921,52.6929577,226.303882,128.0502947,233.26089595
"Slc6a14","Slc6a14",555.7834546,918.5941414,613.7961318,737.3166876,308.8507011,457.7131178,465.9801921,264.9553053,718.351759,764.8757522,709.6491128,507.0436038,734.981458,656.2627587,1214.127009
"Rasef","Rasef",275.0424184,480.1405379,328.209199,408.4356754,101.892081,143.2472646,209.2297533,144.2339312,452.2562004,503.0430516,503.6170607,244.3755145,265.7591691,252.8563667,613.1868685
"Btnl5","Btnl5",359.9638584,816.7204227,566.5317914,725.4816601,295.0455232,385.1850117,409.8693022,246.8212839,613.08582277,749.195532900001,673.3712689,446.1308055,756.3635393,429.738079,1050.6598403
"Krtcap3","Krtcap3",753.3341148,734.6341924,962.9853871,643.9280193,599.7641024,563.118404,694.9712707,336.6447242,394.3585394,537.9345162,397.9064734,264.8394223,639.0904108,472.7428255,720.9976045
"Prss8","Prss8",254.5260861,344.9836548,279.2550961,267.50079007,179.46174423,236.7168845,269.472593,138.2996462,132.8548778,224.0930204,94.5194036,97.2028825,239.0359709,144.360648,250.5868226
"Fam195a","Fam195a",746.5650015,676.4149513,976.297954400001,648.3360156,499.70887022,465.5787264,553.0834708,319.2443161,257.2315416,357.6937683,346.9657255,173.9388362,501.6313104,360.7691084,528.2821393
"Tpsg1","Tpsg1",3.4552953,21.8128802,13.7271093,0,16.78888862,0,26.7356346,16.229735,0,14.2951273,17.9206374,3.6687086,17.7494118,9.2652988,22.2811002
"Hmgcs2","Hmgcs2",988.7922403,1087.1968709,1155.2239725,931.6182377,847.83093224,844.3526394,909.8788951,527.6974202,766.5054031,721.6671242,732.2797652,517.459497,951.6320699,821.2253199,1238.699393
"Tmem30b","Tmem30b",499.6700071,690.3886221,608.0258184,681.0444534,238.4905222,463.6494099,384.82606765,369.2040781,482.0768796,668.6538856,471.9116364,333.5993109,768.351079,394.5130749,690.1465494
"Cth","Cth",594.6226443,813.289278200001,834.2327295,693.2592143,362.05468668,601.8560372,594.1713692,371.8128716,459.8204598,510.0874917,387.49677,301.8310068,717.7169664,334.9643148,576.1606374
"B3gnt7","B3gnt7",76.0207139,113.2489538,183.8906449,138.2117129,72.26652668,55.0023701,7.4082405,65.4667386,119.1332947,205.2436088,188.1037736,7.7788354,34.0937814,45.2597327,142.2738833
