"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Mkks","Mkks",85.2104,273.6094689,166.5312432,157.3253359,56.4867223,32.4319436,42.2902134,17.0890464,91.2768914,128.6665797,177.5468153,181.6197576,84.3071424,66.0616981,227.1406999
"X2310044G17Rik","X2310044G17Rik",87.7572138,193.0814953,113.1358708,107.2786937,25.7088799,21.4408174,25.2269831,68.5493023,103.646358,93.7988597,208.2166415,102.7683748,48.4983548,29.4920848,234.195264
"Agpat5","Agpat5",206.5474118,379.2764188,314.4964446,341.5924829,103.5994396,103.4943639,136.7955733,97.1376013,240.7674372,262.6482407,517.6909052,462.1624923,159.5480169,168.9614155,518.9407027
"Glb1","Glb1",44.8465376,128.770839,180.6733469,98.9085598,24.9372288,12.9262037,58.0534866,33.317206,56.1129427,87.7548963,183.7696932,127.5533364,53.6361748,75.6352376,231.9655365
"Tm9sf4","Tm9sf4",131.0445014,292.5563959,238.6526921,256.2434455,80.5744591,80.7016483,80.5734601,51.7988109,158.0190987,134.7647717,378.4942434,225.5854077,116.6074803,89.8564522,460.3377153
"Pon3","Pon3",37.52192,126.5101597,100.8109618,84.1358716,29.5872518,13.3787898,46.9628793,29.8493642,43.5319018,52.5477811,155.854425,101.9106079,55.3399667,35.6676368,129.0708984
"Bmp3","Bmp3",39.1888462,122.2130185,53.4919344,130.039632,25.2810118,10.2830962,71.4231611,23.2665317,56.9271884,79.4046011,92.2143146,107.7281812,38.7496871,65.0391883,180.7604553
"Coq5","Coq5",93.3173022,194.83482146,110.1087303,233.9278946,32.0433747,47.6839158,94.055752,52.9918584,95.8832087,117.1820985,275.2389768,185.2750312,79.7913047,59.1451003,269.0736964
"Dpp3","Dpp3",71.3372852,258.1450021,176.8587135,119.8800415,55.1773464,62.5198607,112.72358256,52.853258,97.2094907,94.3001306,201.8533423,154.5358918,67.0824683,89.2949822,198.0701965
"Decr2","Decr2",50.0373516,165.5751479,146.7403052,136.9713365,3.1380186,38.8141411,47.7632031,21.3734466,59.8954162,46.6564626,119.6178923,153.8095111,57.5713216,102.7698037,294.5664159
"Abcd3","Abcd3",176.6433698,356.7469564,308.0487545,270.3848302,50.0879037,63.6139012,119.0881103,52.2853233,147.6662734,212.687371,484.4045936,369.798314,114.8617676,148.3901505,624.7780407
"Mtx1","Mtx1",103.7313443,272.9878764,194.5054591,187.1189019,37.4114529,105.1982935,77.028036,44.6620052,103.1629829,83.4829602,184.046206,198.1340451,96.2343374,88.7679246,305.7858248
"Actr1b","Actr1b",40.985168,135.2025916,132.1278525,141.603252,34.3356242,54.5496516,48.4964518,40.6057323,76.3481328,102.5723368,144.7864033,196.9422283,34.0567765,54.7288886,164.6900776
