"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"11037","Clec11a",38.20086,32.6664,50.79154,24.61726,27.59158,24.23066,46.99214,22.39037,15.46399,22.44072,7.608416,6.860722,34.58069,30.14,50.51331
"11038","Dclk3",6.398327,6.724951,14.48811,27.32565,0.01608458,21.43889,10.29644,17.18628,25.30529,18.1551,5.881241,6.374861,26.76242,14.28005,40.5691
"11039","Eml6",16.20653,12.15892,8.051585,26.85313,6.813322,9.944435,7.588332,18.28625,21.19417,10.03979,17.43696,15.17045,23.55456,17.13593,44.50566
"11040","Hist1h2bp",26.85772,11.32594,22.26926,8.041501,0.2885651,8.844337,17.4539,9.260893,8.642375,11.48761,22.60162,13.1992,19.29431,11.71722,25.78504
"11041","Zbtb32",18.21507,32.70091,20.08288,23.83741,9.385526,13.41603,28.14428,23.48365,13.20716,19.02969,19.70555,11.25255,26.89406,26.98127,44.20921
"11042","Prss27",20.94103,12.33148,7.406444,23.13162,0,7.332494,10.12333,3.856111,5.795456,11.59506,25.76532,12.38972,13.93894,8.175838,15.65058
"11043","Pde11a",17.01184,5.890319,10.37854,22.61596,6.152539,4.795791,10.4386,9.541453,9.111194,11.82315,16.56455,3.673359,10.67599,5.661547,29.85967
"11044","Cenpj",19.5446,16.322,15.10399,22.17373,7.962003,7.286857,19.78131,2.250349,21.01135,20.86232,22.58425,12.30445,35.46149,11.66611,39.21646
"11045","Irx4",20.39851,13.20428,10.57298,23.90807,25.13923,9.416463,19.91866,9.918432,11.79407,10.9552,7.780465,6.280925,23.25805,26.53064,34.23107
"11046","Malat1",752.814,838.0723,907.2807,670.368,487.1438,644.2875,788.5866,506.4418,666.7386,664.7983,719.3993,429.1478,824.0622,780.8746,1113.783
"11047","Fam43a",23.02311,33.40398,27.55245,48.03705,6.001406,10.91232,10.27826,16.36247,37.16785,18.50313,29.0806,9.185674,18.99803,25.05383,50.22536
"11048","Hr",18.98972,31.21979,18.97898,36.3759,3.641608,19.55845,14.71373,15.84158,25.16852,22.10383,24.25269,16.705,23.13904,21.06815,40.39212
"11049","Mns1",26.68533,27.4169,27.80167,20.4384,5.137531,11.8555,18.74795,20.8706,10.63851,26.45428,28.82034,17.32357,17.49594,7.327705,34.74056
"11050","Hes7",22.23754,18.98393,9.037552,19.8662,9.299077,11.53119,19.30031,11.1551,6.342814,8.74384,4.823944,7.312029,7.150059,11.65954,13.8758
